date,rank_ic,n_symbols
2023-01-05,0.18556195,876
2023-01-06,0.12224652,876
2023-01-09,0.09991378,876
2023-01-10,0.12511413,877
2023-01-11,0.09971594,878
2023-01-12,0.06331747,878
2023-01-13,0.10665627,878
2023-01-16,0.17632635,879
2023-01-17,0.17950381,879
2023-01-18,0.15137334,879
2023-01-19,0.17695381,880
2023-01-20,0.16749415,880
2023-01-30,0.18344707,880
2023-01-31,0.16048751,880
2023-02-01,0.12810065,880
2023-02-02,0.12874568,880
2023-02-03,0.16793826,880
2023-02-06,0.17791681,880
2023-02-07,0.11725775,880
2023-02-08,0.12266383,883
2023-02-09,0.10903928,883
2023-02-10,0.09453009,884
2023-02-13,0.04068716,884
2023-02-14,0.06010895,884
2023-02-15,0.11268218,884
2023-02-16,0.06771232,885
2023-02-17,0.01906747,885
2023-02-20,-0.01114091,884
2023-02-21,-0.06653597,885
2023-02-22,-0.05823035,886
2023-02-23,-0.04786192,886
2023-02-24,-0.03730434,886
2023-02-27,-0.01163822,886
2023-02-28,-0.01363105,886
2023-03-01,-0.02083795,887
2023-03-02,-0.00263284,887
2023-03-03,-0.03898329,887
2023-03-06,-0.00335787,889
2023-03-07,-0.04575390,889
2023-03-08,0.00908220,889
2023-03-09,0.01380134,889
2023-03-10,0.01923250,889
2023-03-13,-0.05456255,889
2023-03-14,-0.13837377,889
2023-03-15,-0.21154802,890
2023-03-16,-0.05822787,891
2023-03-17,-0.04969479,891
2023-03-20,-0.07962244,891
2023-03-21,-0.15524046,891
2023-03-22,-0.19321274,892
2023-03-23,-0.10011951,892
2023-03-24,-0.11465719,892
2023-03-27,-0.10312397,892
2023-03-28,0.00631350,892
2023-03-29,-0.00261083,893
2023-03-30,-0.07604355,895
2023-03-31,-0.02859048,894
2023-04-03,0.02311294,894
2023-04-04,0.06710863,894
2023-04-06,0.17126533,895
2023-04-07,0.14069465,895
2023-04-10,0.07850968,896
2023-04-11,0.12584885,897
2023-04-12,0.17805360,897
2023-04-13,0.15465112,897
2023-04-14,0.21759996,898
2023-04-17,0.11391047,898
2023-04-18,0.12122142,899
2023-04-19,0.17002066,899
2023-04-20,0.16815053,899
2023-04-21,0.09166558,899
2023-04-24,0.09126003,900
2023-04-25,0.07410474,900
2023-04-26,-0.06037982,899
