time,order_id,symbol,side,quantity,order_type,ref_price,status,message
2026-08-15T14:00:39.302641,ORD000001,000035,buy,300,market,4.71,pending,"已提交,待撮合"
2026-08-15T14:00:39.305642,ORD000002,000099,buy,100,market,14.1,pending,"已提交,待撮合"
2026-08-15T14:00:39.307645,ORD000003,001896,buy,100,market,13.07,pending,"已提交,待撮合"
2026-08-15T14:00:39.309589,ORD000004,002170,buy,100,market,11.13,pending,"已提交,待撮合"
2026-08-15T14:00:39.311588,ORD000005,002434,buy,200,market,5.9,pending,"已提交,待撮合"
2026-08-15T14:00:39.313590,ORD000006,300045,buy,100,market,13.31,pending,"已提交,待撮合"
2026-08-15T14:00:39.316093,ORD000007,300180,buy,300,market,4.32,pending,"已提交,待撮合"
2026-08-15T14:00:39.316093,ORD000008,300182,buy,300,market,5.1,pending,"已提交,待撮合"
2026-08-15T14:00:39.322464,ORD000009,300315,buy,400,market,4.19,pending,"已提交,待撮合"
2026-08-15T14:00:39.326295,ORD000010,300459,buy,400,market,3.68,pending,"已提交,待撮合"
2026-08-15T14:00:39.329405,ORD000011,300601,buy,100,market,12.69,pending,"已提交,待撮合"
2026-08-15T14:00:39.329899,ORD000012,301039,buy,200,market,7.79,pending,"已提交,待撮合"
2026-08-15T14:00:39.336907,ORD000013,600057,buy,200,market,6.15,pending,"已提交,待撮合"
2026-08-15T14:00:39.340950,ORD000014,600338,buy,100,market,13.67,pending,"已提交,待撮合"
2026-08-15T14:00:39.343910,ORD000015,600422,buy,100,market,8.82,pending,"已提交,待撮合"
2026-08-15T14:00:39.344800,ORD000016,600428,buy,100,market,11.81,pending,"已提交,待撮合"
2026-08-15T14:00:39.348825,ORD000017,600597,buy,200,market,6.67,pending,"已提交,待撮合"
2026-08-15T14:00:39.350752,ORD000018,600776,buy,100,market,12.95,pending,"已提交,待撮合"
2026-08-15T14:00:39.353355,ORD000019,600782,buy,600,market,2.71,pending,"已提交,待撮合"
2026-08-15T14:00:39.355370,ORD000020,600877,buy,100,market,12.99,pending,"已提交,待撮合"
2026-08-15T14:00:39.358466,ORD000021,601519,buy,200,market,8.07,pending,"已提交,待撮合"
2026-08-15T14:00:39.358466,ORD000022,601949,buy,300,market,5.17,pending,"已提交,待撮合"
2026-08-15T14:00:39.362489,ORD000023,603567,buy,200,market,6.62,pending,"已提交,待撮合"
