date,order_id,symbol,side,quantity,price,amount,commission,stamp_tax,slippage,total_cost,net_proceeds
2026-08-15,ORD000001,000029,sell,900,22.5,20250.0,6.074999999999999,10.125,20.25,36.45,20213.55
2026-08-15,ORD000002,000035,sell,4500,4.77,21464.999999999996,6.439499999999998,10.732499999999998,21.464999999999996,38.63699999999999,21426.362999999998
2026-08-15,ORD000003,000506,sell,1100,16.88,18568.0,5.570399999999999,9.284,18.568,33.4224,18534.5776
2026-08-15,ORD000004,001896,sell,1600,13.86,22176.0,6.652799999999999,11.088000000000001,22.176000000000002,39.9168,22136.0832
2026-08-15,ORD000005,002434,sell,3500,6.0,21000.0,6.3,10.5,21.0,37.8,20962.2
2026-08-15,ORD000006,002891,sell,600,31.6,18960.0,5.688,9.48,18.96,34.128,18925.872
2026-08-15,ORD000007,300045,sell,1600,13.41,21456.0,6.4368,10.728,21.456,38.6208,21417.3792
2026-08-15,ORD000008,300182,sell,4200,5.16,21672.0,6.5016,10.836,21.672,39.009600000000006,21632.9904
2026-08-15,ORD000009,300322,sell,1000,18.41,18410.0,5.523,9.205,18.41,33.138,18376.862
2026-08-15,ORD000010,300443,sell,900,20.93,18837.0,5.6511,9.4185,18.837,33.9066,18803.0934
2026-08-15,ORD000011,300492,sell,700,25.79,18053.0,5.4159,9.0265,18.053,32.495400000000004,18020.5046
2026-08-15,ORD000012,300598,sell,600,28.85,17310.0,5.193,8.655,17.31,31.157999999999998,17278.842
2026-08-15,ORD000013,301039,sell,2700,7.87,21249.0,6.3747,10.6245,21.249,38.2482,21210.7518
2026-08-15,ORD000014,301155,sell,400,46.9,18760.0,5.627999999999999,9.38,18.76,33.768,18726.232
2026-08-15,ORD000015,301207,sell,1100,18.1,19910.0,5.973,9.955,19.91,35.838,19874.162
2026-08-15,ORD000016,600338,sell,1500,13.55,20325.0,6.097499999999999,10.1625,20.325,36.584999999999994,20288.415
2026-08-15,ORD000017,600597,sell,3100,6.84,21204.0,6.361199999999999,10.602,21.204,38.1672,21165.8328
2026-08-15,ORD000018,600729,sell,1000,19.43,19430.0,5.829,9.715,19.43,34.974000000000004,19395.026
2026-08-15,ORD000019,600750,sell,800,24.12,19296.0,5.788799999999999,9.648,19.296,34.7328,19261.2672
2026-08-15,ORD000020,600776,sell,1600,12.93,20688.0,6.2063999999999995,10.344,20.688,37.2384,20650.7616
2026-08-15,ORD000021,600782,sell,7900,2.73,21567.0,6.4700999999999995,10.7835,21.567,38.8206,21528.1794
2026-08-15,ORD000022,600877,sell,1600,13.3,21280.0,6.3839999999999995,10.64,21.28,38.304,21241.696
2026-08-15,ORD000023,601949,sell,4100,5.31,21771.0,6.531299999999999,10.8855,21.771,39.187799999999996,21731.8122
2026-08-15,ORD000024,603355,sell,700,27.14,18998.0,5.6994,9.499,18.998,34.1964,18963.8036
2026-08-15,ORD000025,603567,sell,3200,6.81,21792.0,6.537599999999999,10.896,21.792,39.2256,21752.7744
2026-08-15,ORD000026,605196,sell,500,34.51,17255.0,5.1765,8.6275,17.255,31.058999999999997,17223.941
2026-08-15,ORD000027,688139,sell,600,29.11,17466.0,5.2398,8.733,17.466,31.4388,17434.5612
2026-08-15,ORD000028,688333,sell,100,107.2,10720.0,5.0,5.36,10.72,21.08,10698.92
2026-08-15,ORD000029,688552,sell,700,27.9,19530.0,5.858999999999999,9.765,19.53,35.153999999999996,19494.846
2026-08-15,ORD000030,000680,buy,100,10.38,1038.0,5.0,0.0,1.038,6.038,-1031.962
2026-08-15,ORD000031,000712,buy,100,9.53,952.9999999999999,5.0,0.0,0.953,5.953,-947.0469999999999
2026-08-15,ORD000032,000813,buy,200,3.6,720.0,5.0,0.0,0.72,5.72,-714.28
2026-08-15,ORD000033,002212,buy,100,6.65,665.0,5.0,0.0,0.665,5.665,-659.335
2026-08-15,ORD000034,002416,buy,100,9.85,985.0,5.0,0.0,0.985,5.985,-979.015
2026-08-15,ORD000035,300133,buy,100,7.22,722.0,5.0,0.0,0.722,5.7219999999999995,-716.278
2026-08-15,ORD000036,300180,buy,200,4.39,877.9999999999999,5.0,0.0,0.8779999999999999,5.878,-872.1219999999998
2026-08-15,ORD000037,300276,buy,100,6.63,663.0,5.0,0.0,0.663,5.663,-657.337
2026-08-15,ORD000038,300315,buy,200,4.21,842.0,5.0,0.0,0.842,5.842,-836.158
2026-08-15,ORD000039,300459,buy,200,3.7,740.0,5.0,0.0,0.74,5.74,-734.26
2026-08-15,ORD000040,600057,buy,100,6.26,626.0,5.0,0.0,0.626,5.626,-620.374
2026-08-15,ORD000041,600409,buy,100,6.73,673.0,5.0,0.0,0.673,5.673,-667.327
2026-08-15,ORD000042,600422,buy,100,9.05,905.0000000000001,5.0,0.0,0.9050000000000001,5.905,-899.0950000000001
2026-08-15,ORD000043,600866,buy,200,4.37,874.0,5.0,0.0,0.874,5.874,-868.126
2026-08-15,ORD000044,601519,buy,100,8.23,823.0,5.0,0.0,0.8230000000000001,5.823,-817.177
2026-08-15,ORD000045,603300,buy,200,5.03,1006.0,5.0,0.0,1.006,6.006,-999.994
