symbol,side,quantity,ref_price,order_type
000029,buy,900,22.2,market
000035,buy,4200,4.71,market
000099,buy,1400,14.1,market
000506,buy,1100,17.64,market
001896,buy,1500,13.07,market
002170,buy,1700,11.13,market
002434,buy,3300,5.9,market
002891,buy,600,30.0,market
300045,buy,1500,13.31,market
300180,buy,4600,4.32,market
300182,buy,3900,5.1,market
300315,buy,4700,4.19,market
300322,buy,1000,19.05,market
300443,buy,900,20.53,market
300459,buy,5400,3.68,market
300492,buy,700,25.24,market
300598,buy,600,28.72,market
300601,buy,1500,12.69,market
300850,buy,700,27.0,market
301015,buy,700,26.89,market
301039,buy,2500,7.79,market
301155,buy,400,46.06,market
301207,buy,1100,18.11,market
301622,buy,400,41.57,market
600057,buy,3200,6.15,market
600338,buy,1400,13.67,market
600389,buy,1000,18.55,market
600422,buy,2200,8.82,market
600428,buy,1600,11.81,market
600597,buy,2900,6.67,market
600729,buy,1000,19.02,market
600750,buy,800,23.81,market
600776,buy,1500,12.95,market
600782,buy,7300,2.71,market
600835,buy,1000,19.06,market
600877,buy,1500,12.99,market
601519,buy,2400,8.07,market
601949,buy,3800,5.17,market
603236,buy,300,60.69,market
603355,buy,700,27.22,market
603533,buy,900,22.0,market
603567,buy,3000,6.62,market
603619,buy,800,22.33,market
605196,buy,500,35.07,market
688139,buy,600,28.84,market
688333,buy,100,109.73,market
688382,buy,900,21.09,market
688552,buy,700,27.93,market
